name,popular_times,latitude,longitude,working_hours,city,us_state,rating
Mardis Mill Falls,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 52, 56, 55, 60, 47, 22, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 85, 100, 84, 69, 70, 55, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 85, 73, 81, 85, 74, 52, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 77, 78, 75, 91, 83, 45, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 58, 79, 69, 55, 47, 35, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",34.0443641,-86.5714465,"{""Monday"": ""6AM-7PM"", ""Tuesday"": ""6AM-7PM"", ""Wednesday"": ""6AM-7PM"", ""Thursday"": ""6AM-7PM"", ""Friday"": ""6AM-7PM"", ""Saturday"": ""6AM-7PM"", ""Sunday"": ""6AM-7PM""}",Blountsville,Alabama,4.6
Waterville USA/Escape House,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 44, 34, 20, 16, 20, 18, 8, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 71, 73, 67, 63, 63, 59, 51, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 91, 69, 63, 67, 65, 55, 38, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 73, 79, 77, 63, 59, 65, 59, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 32, 22, 14, 24, 63, 81, 44, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",30.2583306,-87.6870639,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""12-9PM"", ""Friday"": ""12-9PM"", ""Saturday"": ""12-9PM"", ""Sunday"": ""12-9PM""}",Gulf Shores,Alabama,4.3
Bama Bison RV Park & Farm,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 41, 52, 52, 52, 47, 29, 17, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 35, 52, 52, 35, 23, 23, 29, 29, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 23, 35, 35, 29, 29, 41, 35, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 35, 52, 52, 58, 82, 100, 82, 47, 23, 41, 64, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 64, 52, 41, 58, 70, 70, 58, 41, 23, 23, 17, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 29, 47, 41, 35, 41, 58, 52, 35, 0, 0, 0, 0, 0, 0]]",32.4250443,-85.2502691,,Opelika,Alabama,5
The Mobile tunnel,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 10, 17, 44, 51, 58, 51, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 51, 51, 41, 20, 24, 31, 44, 41, 37, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 10, 27, 58, 48, 48, 37, 34, 31, 27, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 34, 24, 31, 44, 34, 37, 51, 58, 41, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 89, 100, 96, 100, 82, 65, 51, 44, 24, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 75, 100, 89, 75, 62, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",30.690009,-88.0356195,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Mobile,Alabama,4.8
Bamahenge,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 42, 69, 73, 50, 23, 23, 46, 100, 92, 96, 46, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 23, 34, 23, 42, 38, 61, 50, 50, 46, 57, 42, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 26, 26, 34, 19, 7, 0, 0, 15, 34, 76, 42, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 26, 42, 26, 19, 15, 38, 42, 38, 50, 53, 38, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 80, 96, 69, 30, 3, 7, 15, 50, 61, 84, 57, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 11, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",30.331442,-87.5672317,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Elberta,Alabama,4.5
United States Postal Service,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 16, 41, 33, 16, 8, 16, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 8, 8, 33, 66, 75, 58, 58, 16, 8, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 58, 75, 41, 25, 8, 8, 16, 25, 8, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 8, 33, 50, 66, 100, 100, 91, 50, 25, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 33, 33, 25, 33, 41, 91, 91, 58, 50, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 41, 50, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",32.2720277,-85.2755631,"{""Monday"": ""12:30-2:30PM"", ""Tuesday"": ""12:30-2:30PM"", ""Wednesday"": ""12:30-2:30PM"", ""Thursday"": ""12:30-2:30PM"", ""Friday"": ""12:30-2:30PM"", ""Saturday"": ""8-10AM"", ""Sunday"": ""Closed""}",Hatchechubbee,Alabama,
Russell Cave National Monument,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 59, 75, 80, 73, 62, 57, 67, 77, 63, 34, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 78, 95, 95, 83, 77, 85, 100, 98, 72, 37, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 63, 77, 86, 88, 83, 75, 78, 93, 85, 47, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 65, 83, 95, 95, 83, 70, 62, 63, 63, 45, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 72, 78, 75, 65, 62, 68, 80, 86, 80, 59, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",34.9786863,-85.8098594,"{""Monday"": ""8AM-4:30PM"", ""Tuesday"": ""8AM-4:30PM"", ""Wednesday"": ""8AM-4:30PM"", ""Thursday"": ""8AM-4:30PM"", ""Friday"": ""8AM-4:30PM"", ""Saturday"": ""8AM-4:30PM"", ""Sunday"": ""8AM-4:30PM""}",Bridgeport,Alabama,4.5
Ave Maria Grotto,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 35, 39, 32, 27, 22, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 28, 40, 41, 34, 28, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 35, 38, 30, 25, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 45, 75, 75, 63, 65, 70, 58], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 43, 60, 68, 72, 85, 100, 93]]",34.1753639,-86.8163979,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-5PM"", ""Sunday"": ""11:30AM-5PM""}",Cullman,Alabama,4.8
What You Say WYS Touring,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 41, 77, 94, 100, 75, 61, 55, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 52, 61, 63, 47, 41, 27, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 22, 38, 61, 91, 75, 80, 52, 41, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 25, 44, 61, 55, 55, 50, 50, 47, 0]]",30.7106545,-88.0956668,,Mobile,Alabama,5
Heavenly Metal,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 31, 50, 59, 100, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 4, 9, 18, 27, 9, 22, 36, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13, 4, 4, 13, 31, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 22, 22, 50, 50, 50, 40, 45, 18, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 22, 18, 22, 27, 9, 13, 22, 59, 72, 77, 45, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 40, 31, 22, 31, 27, 18, 4, 0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 45, 45, 72, 63, 63, 63, 27, 0, 0, 0, 0, 0, 0]]",30.6920733,-88.0443887,,Mobile,Alabama,5
Hugo Black Monument and Park,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 86, 100, 100, 90, 77, 64, 46, 30, 14, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 38, 49, 49, 42, 31, 19, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 38, 54, 63, 60, 45, 29, 16, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 50, 65, 71, 62, 48, 34, 20, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 55, 71, 77, 75, 65, 50, 30, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 40, 52, 69, 87, 95, 94, 84, 69, 53, 36, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 73, 87, 93, 95, 90, 84, 70, 56, 39, 27, 0]]",33.2716686,-85.8355659,,Ashland,Alabama,
