name,latitude,longitude,city,us_state,rating,rating_category,rating_scaled,Monday_00,Monday_01,Monday_02,Monday_03,Monday_04,Monday_05,Monday_06,Monday_07,Monday_08,Monday_09,Monday_10,Monday_11,Monday_12,Monday_13,Monday_14,Monday_15,Monday_16,Monday_17,Monday_18,Monday_19,Monday_20,Monday_21,Monday_22,Monday_23,Tuesday_00,Tuesday_01,Tuesday_02,Tuesday_03,Tuesday_04,Tuesday_05,Tuesday_06,Tuesday_07,Tuesday_08,Tuesday_09,Tuesday_10,Tuesday_11,Tuesday_12,Tuesday_13,Tuesday_14,Tuesday_15,Tuesday_16,Tuesday_17,Tuesday_18,Tuesday_19,Tuesday_20,Tuesday_21,Tuesday_22,Tuesday_23,Wednesday_00,Wednesday_01,Wednesday_02,Wednesday_03,Wednesday_04,Wednesday_05,Wednesday_06,Wednesday_07,Wednesday_08,Wednesday_09,Wednesday_10,Wednesday_11,Wednesday_12,Wednesday_13,Wednesday_14,Wednesday_15,Wednesday_16,Wednesday_17,Wednesday_18,Wednesday_19,Wednesday_20,Wednesday_21,Wednesday_22,Wednesday_23,Thursday_00,Thursday_01,Thursday_02,Thursday_03,Thursday_04,Thursday_05,Thursday_06,Thursday_07,Thursday_08,Thursday_09,Thursday_10,Thursday_11,Thursday_12,Thursday_13,Thursday_14,Thursday_15,Thursday_16,Thursday_17,Thursday_18,Thursday_19,Thursday_20,Thursday_21,Thursday_22,Thursday_23,Friday_00,Friday_01,Friday_02,Friday_03,Friday_04,Friday_05,Friday_06,Friday_07,Friday_08,Friday_09,Friday_10,Friday_11,Friday_12,Friday_13,Friday_14,Friday_15,Friday_16,Friday_17,Friday_18,Friday_19,Friday_20,Friday_21,Friday_22,Friday_23,Saturday_00,Saturday_01,Saturday_02,Saturday_03,Saturday_04,Saturday_05,Saturday_06,Saturday_07,Saturday_08,Saturday_09,Saturday_10,Saturday_11,Saturday_12,Saturday_13,Saturday_14,Saturday_15,Saturday_16,Saturday_17,Saturday_18,Saturday_19,Saturday_20,Saturday_21,Saturday_22,Saturday_23,Sunday_00,Sunday_01,Sunday_02,Sunday_03,Sunday_04,Sunday_05,Sunday_06,Sunday_07,Sunday_08,Sunday_09,Sunday_10,Sunday_11,Sunday_12,Sunday_13,Sunday_14,Sunday_15,Sunday_16,Sunday_17,Sunday_18,Sunday_19,Sunday_20,Sunday_21,Sunday_22,Sunday_23,parsed_hours,popular_hours,parsed_features,popular_features,calculated_working_hours,weekday_hours,weekend_hours,is_weekend_open,Monday_00_category,Monday_01_category,Monday_02_category,Monday_03_category,Monday_04_category,Monday_05_category,Monday_06_category,Monday_07_category,Monday_08_category,Monday_09_category,Monday_10_category,Monday_11_category,Monday_12_category,Monday_13_category,Monday_14_category,Monday_15_category,Monday_16_category,Monday_17_category,Monday_18_category,Monday_19_category,Monday_20_category,Monday_21_category,Monday_22_category,Monday_23_category,Tuesday_00_category,Tuesday_01_category,Tuesday_02_category,Tuesday_03_category,Tuesday_04_category,Tuesday_05_category,Tuesday_06_category,Tuesday_07_category,Tuesday_08_category,Tuesday_09_category,Tuesday_10_category,Tuesday_11_category,Tuesday_12_category,Tuesday_13_category,Tuesday_14_category,Tuesday_15_category,Tuesday_16_category,Tuesday_17_category,Tuesday_18_category,Tuesday_19_category,Tuesday_20_category,Tuesday_21_category,Tuesday_22_category,Tuesday_23_category,Wednesday_00_category,Wednesday_01_category,Wednesday_02_category,Wednesday_03_category,Wednesday_04_category,Wednesday_05_category,Wednesday_06_category,Wednesday_07_category,Wednesday_08_category,Wednesday_09_category,Wednesday_10_category,Wednesday_11_category,Wednesday_12_category,Wednesday_13_category,Wednesday_14_category,Wednesday_15_category,Wednesday_16_category,Wednesday_17_category,Wednesday_18_category,Wednesday_19_category,Wednesday_20_category,Wednesday_21_category,Wednesday_22_category,Wednesday_23_category,Thursday_00_category,Thursday_01_category,Thursday_02_category,Thursday_03_category,Thursday_04_category,Thursday_05_category,Thursday_06_category,Thursday_07_category,Thursday_08_category,Thursday_09_category,Thursday_10_category,Thursday_11_category,Thursday_12_category,Thursday_13_category,Thursday_14_category,Thursday_15_category,Thursday_16_category,Thursday_17_category,Thursday_18_category,Thursday_19_category,Thursday_20_category,Thursday_21_category,Thursday_22_category,Thursday_23_category,Friday_00_category,Friday_01_category,Friday_02_category,Friday_03_category,Friday_04_category,Friday_05_category,Friday_06_category,Friday_07_category,Friday_08_category,Friday_09_category,Friday_10_category,Friday_11_category,Friday_12_category,Friday_13_category,Friday_14_category,Friday_15_category,Friday_16_category,Friday_17_category,Friday_18_category,Friday_19_category,Friday_20_category,Friday_21_category,Friday_22_category,Friday_23_category,Saturday_00_category,Saturday_01_category,Saturday_02_category,Saturday_03_category,Saturday_04_category,Saturday_05_category,Saturday_06_category,Saturday_07_category,Saturday_08_category,Saturday_09_category,Saturday_10_category,Saturday_11_category,Saturday_12_category,Saturday_13_category,Saturday_14_category,Saturday_15_category,Saturday_16_category,Saturday_17_category,Saturday_18_category,Saturday_19_category,Saturday_20_category,Saturday_21_category,Saturday_22_category,Saturday_23_category,Sunday_00_category,Sunday_01_category,Sunday_02_category,Sunday_03_category,Sunday_04_category,Sunday_05_category,Sunday_06_category,Sunday_07_category,Sunday_08_category,Sunday_09_category,Sunday_10_category,Sunday_11_category,Sunday_12_category,Sunday_13_category,Sunday_14_category,Sunday_15_category,Sunday_16_category,Sunday_17_category,Sunday_18_category,Sunday_19_category,Sunday_20_category,Sunday_21_category,Sunday_22_category,Sunday_23_category,predicted_popularity,nearest_neighbors,predicted_rating_category
Mardis Mill Falls,34.044364,-86.571446,Blountsville,Alabama,4.6,High,4.6,0,0,0,0,0,0,0,0,0,28,52,56,55,60,47,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,85,100,84,69,70,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,85,73,81,85,74,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,77,78,75,91,83,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,58,79,69,55,47,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(9, 16), (9, 16), (9, 16), (9, 16), (9, 16), (None, None), (None, None)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 16, 9, 16, 9, 16, 9, 16, 9, 16, 0, 0, 0, 0]",:9-16:9-16:9-16:9-16:9-16::,5,0,FALSE,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,"Easley Covered Bridge:544.56km, Horton Mill Covered Bridge:689.21km, Meditation Point:700.74km, Susan Moore Ball Park:827.96km, Snead City Park:1060.07km",High
Waterville Usa/Escape House,30.258331,-87.687064,Gulf shores,Alabama,4.3,Medium,4.3,0,0,0,0,0,0,0,0,0,34,44,34,20,16,20,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,71,73,67,63,63,59,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,91,69,63,67,65,55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,73,79,77,63,59,65,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,22,14,24,63,81,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(9, 17), (9, 17), (9, 17), (9, 17), (9, 17), (None, None), (None, None)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 0, 0, 0, 0]",:9-17:9-17:9-17:9-17:9-17::,5,0,FALSE,low,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,high,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,"Bamahenge:807.15km, Uss Alabama Battleship Memorial Park:3241.94km, The Mobile Tunnel:3350.62km, Condé-Charlotte Museum:3356.24km, Cooper Riverside Park:3357.45km",Medium
Bama Bison Rv Park & Farm,32.425044,-85.250269,Opelika,Alabama,5,High,5,0,0,0,0,0,0,0,0,0,5,17,41,52,52,52,47,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,35,52,52,35,23,23,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,23,35,35,29,29,41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,35,52,52,58,82,100,82,47,23,41,64,0,0,0,0,0,0,0,0,0,0,0,0,29,64,52,41,58,70,70,58,41,23,23,17,0,0,0,0,0,0,0,0,0,0,0,0,11,29,47,41,35,41,58,52,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],"[(9, 18), (9, 18), (9, 18), (9, 21), (9, 21), (9, 18), (None, None)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 18, 9, 18, 9, 18, 9, 21, 9, 21, 9, 18, 0, 0]",:9-18:9-18:9-18:9-21:9-21:9-18:,5,1,TRUE,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,high,high,high,medium,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,"Dixie Walking Trail:209.42km, Museum Of Wonder Drive Thru:751.40km, Magnolia Greene Farms:810.45km, Tsinia Wildlife Viewing Area:853.71km, Gator Hole:1812.05km",High
The Mobile Tunnel,30.690009,-88.03562,Mobile,Alabama,4.8,High,4.8,0,0,0,0,0,0,0,0,17,10,10,17,44,51,58,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,41,20,24,31,44,41,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,58,48,48,37,34,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,31,44,34,37,51,58,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,100,96,100,82,65,51,44,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,100,89,75,62,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(8, 16), (8, 17), (8, 17), (8, 17), (8, 17), (8, 14), (None, None)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 16, 8, 17, 8, 17, 8, 17, 8, 17, 8, 14, 0, 0]",:8-16:8-17:8-17:8-17:8-17:8-14:,5,1,TRUE,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,high,high,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,high,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,"Cooper Riverside Park:10.93km, Exploreum Science Center & Poarch Band Of Creek Indians Digital Dome Theater:19.49km, History Museum Of Mobile:23.32km, Colonial Fort Condé:25.25km, Condé-Charlotte Museum:26.38km",High
Bamahenge,30.331442,-87.567232,Elberta,Alabama,4.5,Medium,4.5,0,0,0,0,0,0,0,0,42,69,73,50,23,23,46,100,92,96,46,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,23,42,38,61,50,50,46,57,42,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,34,19,7,0,0,15,34,76,42,0,0,0,0,0,0,0,0,0,0,0,0,0,26,42,26,19,15,38,42,38,50,53,38,0,0,0,0,0,0,0,0,0,0,0,0,0,80,96,69,30,3,7,15,50,61,84,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(8, 19), (8, 19), (8, 19), (8, 19), (8, 19), (9, 12), (None, None)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 19, 8, 19, 8, 19, 8, 19, 8, 19, 9, 12, 0, 0]",:8-19:8-19:8-19:8-19:8-19:9-12:,5,1,TRUE,low,low,low,low,low,low,low,low,medium,medium,high,medium,low,low,medium,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,medium,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,medium,low,low,low,low,medium,medium,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,"Waterville Usa/Escape House:807.15km, Uss Alabama Battleship Memorial Park:3317.81km, The Mobile Tunnel:3439.20km, Cooper Riverside Park:3447.85km, Condé-Charlotte Museum:3450.71km",Medium
Russell Cave National Monument,34.978686,-85.809859,Bridgeport,Alabama,4.5,Medium,4.5,0,0,0,0,0,0,0,59,75,80,73,62,57,67,77,63,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,95,95,83,77,85,100,98,72,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,77,86,88,83,75,78,93,85,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,83,95,95,83,70,62,63,63,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,78,75,65,62,68,80,86,80,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(7, 17), (7, 17), (7, 17), (7, 17), (7, 17), (None, None), (None, None)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 17, 7, 17, 7, 17, 7, 17, 7, 17, 0, 0, 0, 0]",:7-17:7-17:7-17:7-17:7-17::,5,0,FALSE,low,low,low,low,low,low,low,medium,high,high,high,medium,medium,medium,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,high,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,high,high,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,high,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,medium,medium,medium,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,"Howard'S Waterfall Cave:1614.07km, Cloudland Canyon State Park:1919.72km, Rock City Gardens:2399.93km, Pv Slaughterhouse Haunted Attraction:3030.16km, Rainsville City Park:3099.04km",Medium
Ave Maria Grotto,34.175364,-86.816398,Cullman,Alabama,4.8,High,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,40,41,34,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,35,38,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,45,75,75,63,65,70,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,43,60,68,72,85,100,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,39,32,27,22,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(None, None), (None, None), (16, 22), (16, 22), (16, 24), (16, 24), (16, 22)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 16, 22, 16, 22, 16, 24, 16, 24, 16, 22]",:::16-22:16-22:16-24:16-24:16-22,3,1,TRUE,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,high,high,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,"Mardis Mill Falls:1538.22km, Easley Covered Bridge:2041.37km, Reese'S Point:2111.19km, Susan Moore Ball Park:2161.64km, Horton Mill Covered Bridge:2214.88km",High
What You Say Wys Touring,30.710654,-88.095667,Mobile,Alabama,5,High,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,52,61,63,47,41,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,38,61,91,75,80,52,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,44,61,55,55,50,50,47,0,0,0,0,0,0,0,0,0,0,0,0,0,19,41,77,94,100,75,61,55,0,0,0,0,[],"[(None, None), (None, None), (None, None), (16, 23), (14, 23), (14, 23), (12, 20)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 16, 23, 14, 23, 14, 23, 12, 20]",::::16-23:14-23:14-23:12-20,2,1,TRUE,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,high,medium,medium,low,low,low,low,,"Leprechaun Tree:123.12km, Bragg-Mitchell Mansion:127.11km, Oakleigh House Museum:270.07km, Greer’S Muralpublic Art:281.71km, Mobile City Mural:283.20km",High
Heavenly Metal,30.692073,-88.044389,Mobile,Alabama,5,High,5,0,0,0,0,0,0,0,0,0,18,9,4,9,18,27,9,22,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,13,4,4,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,22,22,50,50,50,40,45,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,22,18,22,27,9,13,22,59,72,77,45,0,0,0,0,0,0,0,0,0,0,0,0,54,40,31,22,31,27,18,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,13,45,45,72,63,63,63,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,31,50,59,100,0,0,0,0,0,0,[],"[(9, 18), (9, 18), (9, 18), (9, 21), (9, 21), (9, 18), (12, 18)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 18, 9, 18, 9, 18, 9, 21, 9, 21, 9, 18, 12, 18]",:9-18:9-18:9-18:9-21:9-21:9-18:12-18,5,1,TRUE,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,low,low,low,medium,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,high,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,high,low,low,low,low,low,low,,"Bienville Square:10.15km, Mobile Carnival Museum:23.29km, Harriet Tubman Mural Public Art By Apollo:24.57km, Mardi Gras Park:26.73km, History Museum Of Mobile:29.73km",High
Museum Of Wonder Drive Thru,32.329411,-85.168539,Seale,Alabama,4.4,Medium,4.4,0,0,0,0,0,0,0,0,0,0,16,32,40,36,52,48,40,28,32,44,48,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,28,20,12,8,4,8,24,40,48,0,0,0,0,0,0,0,0,0,0,0,0,0,52,56,48,40,20,32,40,52,32,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,52,76,100,96,60,28,28,48,56,40,20,4,0,0,0,0,0,0,0,0,0,0,0,0,28,40,32,32,28,24,44,48,56,56,72,60,0,0,0,0,0,0,0,0,0,0,0,0,24,36,52,68,60,88,92,92,80,72,72,40,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,40,44,44,24,20,24,0,0,0,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(10, 21), (10, 21), (10, 21), (10, 22), (10, 22), (10, 22), (11, 19)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 21, 10, 21, 10, 21, 10, 22, 10, 22, 10, 22, 11, 19]",:10-21:10-21:10-21:10-22:10-22:10-22:11-19,5,1,TRUE,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,low,low,low,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,medium,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,high,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,,"Magnolia Greene Farms:216.17km, Bama Bison Rv Park & Farm:751.40km, Dixie Walking Trail:956.60km, Gator Hole:1089.83km, Tsinia Wildlife Viewing Area:1471.21km",Medium
